player,display_name,slug,team,position,contract_type,actual_cap_hit,predicted_log_cap_hit,predicted_market_value,contract_surplus,log_contract_surplus,agent,signing_gm,age,games_played,goals,assists,points,plus_minus,pim,points_per_60,icf_per_60,iscf_per_60,ihdcf_per_60,giveaways_per_60,takeaways_per_60,hits_per_60,shots_blocked_per_60,r2
Charlie McAvoy,Charlie McAvoy,charlie-mcavoy-bos-d-std,BOS,D,STD,9500000,15.06898095785384,3502476.885889815,-5997523.114110185,-0.997821398716928,Michael Curran,Don Sweeney,28,69,11,50,61,13,62,2.17,9.66,3.46,1.03,3.14,1.03,2.82,4.6,0.4695442670482678
David Pastrnak,David Pastrnak,david-pastrnak-bos-r-std,BOS,R,STD,11250000,15.852285155777102,7665843.851720631,-3584156.148279369,-0.3835935308376026,J.P. Barry,Don Sweeney,30,77,29,71,100,4,72,3.7700000000000005,21.2,9.09,2.83,5.06,1.21,3.24,1.21,0.4695442670482678
Elias Lindholm,Elias Lindholm,elias-lindholm-bos-c-std,BOS,C,STD,7750000,15.24382246954892,4171651.128776692,-3578348.871223308,-0.6193809317806096,Craig Oster,Don Sweeney,31,69,17,31,48,-7,38,2.34,12.64,8.07,4.28,2.53,0.83,1.99,2.87,0.4695442670482678
Hampus Lindholm,Hampus Lindholm,hampus-lindholm-bos-d-std,BOS,D,STD,6500000,15.189982379318725,3952988.2874360844,-2547011.7125639156,-0.4973303555471418,Claude Lemieux,Don Sweeney,32,67,5,21,26,3,58,1.08,10.27,3.44,0.46,3.31,1.04,0.5,4.27,0.4695442670482678
Henri Jokiharju,Henri Jokiharju,henri-jokiharju-bos-d-std,BOS,D,STD,3000000,14.401337539346825,1796476.0237316631,-1203523.9762683369,-0.5127853072855597,J.P. Barry,Don Sweeney,27,41,2,13,15,2,14,1.23,8.96,2.05,0.08,3.95,0.49,2.22,3.04,0.4695442670482678
James Hagens,James Hagens,james-hagens-bos-c-elc,BOS,C,ELC,975000,13.681616960737419,874683.1283626056,-100316.87163739442,-0.1085757892425665,John Kofi Osei-Tutu & Bobby Gauthier,Don Sweeney,19,2,0,1,1,1,2,2.06,10.31,4.12,0.0,6.19,6.19,2.06,0.0,0.4695442670482678
Jonathan Aspirot,Jonathan Aspirot,jonathan-aspirot-bos-d-std,BOS,D,STD,775000,14.429303212178233,1847424.7720221214,1072424.7720221214,0.86868490384275,Dom De Blois,Don Sweeney,27,61,3,10,13,30,43,0.77,7.64,1.47,0.35,3.29,0.59,5.05,4.88,0.4695442670482678
Jordan Harris,Jordan Harris,jordan-harris-bos-d-std,BOS,D,STD,825000,13.937955018323054,1130256.344298906,305256.3442989059,0.3148163530062362,Eric Quinlan & Nicholas Martino,Don Sweeney,25,8,1,2,3,0,0,1.41,8.96,3.3,0.47,2.83,0.47,2.36,2.36,0.4695442670482678
Marat Khusnutdinov,Marat Khusnutdinov,marat-khusnutdinov-bos-c-std,BOS,C,STD,925000,14.469629337454473,1923446.7895705553,998446.7895705553,0.7320803209599109,J.P. Barry,Don Sweeney,23,77,15,18,33,12,16,1.78,7.85,5.32,2.79,2.53,1.13,2.26,2.1,0.4695442670482678
Mark Kastelic,Mark Kastelic,mark-kastelic-bos-c-std,BOS,C,STD,1566667,14.544952619303988,2073923.1629015098,507256.1629015098,0.2804916285258763,Brian & Scott Bartlett,Don Sweeney,27,82,12,10,22,6,140,1.2799999999999998,12.7,6.78,3.94,2.44,1.74,12.47,3.71,0.4695442670482678
