 ,Team,Position,Type,Cap Hit,Log(CapHit),Predicted Log(CapHit),Value,Signing Agent,Signing GM,Age,GP,Points/60,iCF/60,iSCF/60,iHDCF/60,Giveaways/60,Takeaways/60,Hits/60,Shots Blocked/60
Mark Kastelic,BOS,C,STD,1566667,14.264460990778112,14.544952619303988,0.2804916285258763,Brian & Scott Bartlett,Don Sweeney,27,82,1.2799999999999998,12.7,6.78,3.94,2.44,1.74,12.47,3.71
Mason Lohrei,BOS,D,STD,3200000,14.978661367769956,14.702173273183252,-0.2764880945867034,Brian & Scott Bartlett,Don Sweeney,25,73,1.26,9.72,2.72,0.44,4.52,0.97,1.46,4.52
Michael Eyssimont,BOS,C,STD,1450000,14.187074114396758,14.802739052248926,0.6156649378521681,Kurt Overhardt,Don Sweeney,29,56,1.77,18.95,9.53,5.11,3.63,0.39,5.3,2.06
Morgan Geekie,BOS,C,STD,5500000,15.520258650202699,15.169026609211453,-0.3512320409912455,Judd Moldaver,Don Sweeney,27,81,2.8899999999999997,15.11,7.36,3.49,3.32,0.85,4.68,1.45
Nikita Zadorov,BOS,D,STD,5000000,15.424948470398375,14.919987725561157,-0.5049607448372182,Daniel Milstein,Don Sweeney,31,81,0.78,9.29,2.23,0.18,3.33,1.17,6.95,3.62
Pavel Zacha,BOS,C,STD,4750000,15.373655176010823,15.177143287633083,-0.19651188837774036,Paul Capizzano,Don Sweeney,29,78,2.97,10.64,8.45,4.43,2.79,0.82,2.92,1.19
Sean Kuraly,BOS,C,STD,1850000,14.430696197054507,15.159337479200747,0.7286412821462402,Justin Duberman,Don Sweeney,33,82,1.21,10.87,5.11,2.36,3.13,0.99,4.78,2.58
Tanner Jeannot,BOS,L,STD,3400000,15.03928598958639,14.518118728128576,-0.5211672614578138,Michael Kaye,Don Sweeney,29,77,1.3599999999999999,11.22,6.9,3.64,2.71,0.43,14.73,3.57
Andrew Peeke,BOS,D,STD,2750000,14.827111469642754,14.744505044100611,-0.08260642554214215,Serge Payer,Jarmo Kekalainen,28,77,0.56,8.48,2.09,0.12,2.37,0.4,4.22,5.43
Viktor Arvidsson,BOS,L,STD,4000000,15.201804919084164,15.817454686769075,0.6156497676849106,Kurt Overhardt,Jeff Jackson,33,69,3.2199999999999998,21.32,11.2,5.6,3.45,0.89,1.43,2.14
Fraser Minten,BOS,C,ELC,816666,13.612985477525935,14.311126024694271,0.698140547168336,Gregory Landry,Kyle Dubas,21,82,1.65,10.82,6.92,3.43,1.88,1.27,6.68,2.4
John Beecher,BOS,C,STD,900000,13.710150042306449,14.199970202893764,0.4898201605873158,Pat Brisson,Don Sweeney,25,35,1.15,11.17,6.08,2.96,2.3,0.99,3.78,5.09
Lukas Reichel,BOS,L,STD,1200000,13.997832114758229,13.99843106103479,0.0005989462765612075,Allain Roy,Kyle Davidson,24,29,1.33,8.64,5.98,2.66,3.32,0.83,1.33,2.66
Josh Doan,BUF,R,ELC,925000,13.737549016494562,14.741093149227249,1.0035441327326868,Allain Roy,Bill Armstrong,24,82,2.4,14.43,9.5,6.13,2.95,2.12,3.6,1.43
Michael Kesselring,BUF,D,STD,1400000,14.151982794585487,14.159067852621263,0.007085058035775305,Matt & Ryan Keator,Bill Armstrong,26,34,0.26,13.44,3.16,0.79,5.01,0.92,3.29,5.01
Alex Tuch,BUF,R,STD,4750000,15.373655176010823,15.461549438113522,0.08789426210269902,Brian & Scott Bartlett,George McPhee,30,79,2.64,15.04,7.92,3.92,2.4,1.56,3.28,3.6
Beck Malenstyn,BUF,L,STD,1350000,14.115615150414612,14.261189766487677,0.14557461607306443,J.P. Barry,Kevyn Adams,28,81,0.92,9.1,5.41,3.23,2.31,0.79,18.59,4.94
Bowen Byram,BUF,D,STD,6250000,15.648092021712584,14.712749449226338,-0.9353425724862454,Darren Ferris,Kevyn Adams,25,82,1.38,7.96,2.91,0.82,2.75,0.72,1.64,3.05
Conor Timmins,BUF,D,STD,2200000,14.603967918328545,14.386729376686652,-0.21723854164189227,Paul Capizzano,Kevyn Adams,27,39,0.66,8.86,1.72,0.08,3.69,0.66,2.38,6.64
Jack Quinn,BUF,R,STD,3375000,15.031905882288767,15.050937410498403,0.01903152820963605,Donald Meehan,Kevyn Adams,24,82,2.38,17.57,9.81,3.08,3.36,0.65,2.43,1.17
Jason Zucker,BUF,L,STD,4750000,15.373655176010823,15.222073517447491,-0.15158165856333206,Eustace King,Kevyn Adams,34,62,2.79,14,10.22,7.06,4.03,0.5,3.53,1.3
Jiri Kulich,BUF,C,ELC,886666,13.69522364020979,13.841377156754975,0.14615351654518527,J.P. Barry,Kevyn Adams,22,12,1.53,13.14,7.03,3.06,3.06,0.31,2.75,3.67
Jordan Greenway,BUF,L,STD,4000000,15.201804919084164,14.239989880161662,-0.9618150389225022,Brian & Scott Bartlett,Kevyn Adams,29,40,0.72,8.2,3.37,0.84,2.29,0.72,6.75,2.65
Joshua Dunne,BUF,C,STD,775000,13.560618308335483,13.906309228088158,0.3456909197526752,Todd Reynolds,Kevyn Adams,27,34,0.75,11.36,6.7,4.66,2.98,1.12,7.45,2.98
Justin Danforth,BUF,R,STD,1800000,14.403297222866392,14.04989248232033,-0.35340474054606297,Patrick Morris,Kevyn Adams,33,4,0,7.69,2.56,1.28,3.84,0,3.84,5.13
Konsta Helenius,BUF,C,ELC,942500,13.756291198304304,13.699911048161939,-0.05638015014236508,Mark Gandler & Todd Diamond,Kevyn Adams,20,9,2.24,13.43,5.6,2.24,3.36,0.56,5.6,1.68
Mattias Samuelsson,BUF,D,STD,4285714,15.270797723904447,14.76995975141717,-0.5008379724872771,Pat Brisson,Kevyn Adams,26,78,1.38,8.26,2.59,0.47,2.7,0.57,4.45,5.19
Noah Östlund,BUF,C,ELC,886666,13.69522364020979,14.394893806437329,0.6996701662275395,J.P. Barry,Kevyn Adams,22,60,1.94,9.38,4.58,2.22,2.51,1.22,0.36,2.15
Owen Power,BUF,D,STD,8350000,15.937772096827038,14.52339850626499,-1.4143735905620485,Pat Brisson,Kevyn Adams,23,81,0.99,8.52,2.67,0.51,2.7,0.75,1.03,3.25
Peyton Krebs,BUF,C,STD,1450000,14.187074114396758,14.564494899346876,0.3774207849501181,Kevin Epp,Kevyn Adams,25,82,2.08,9.68,5.05,2.13,3.08,1.17,10.69,2.18
Rasmus Dahlin,BUF,D,STD,11000000,16.213405830762646,15.145888986092725,-1.067516844669921,Craig Oster,Kevyn Adams,26,77,2.38,14.08,4.96,1.1,3.71,1.03,2.16,2.55
Ryan McLeod,BUF,C,STD,5000000,15.424948470398375,14.89835719601435,-0.5265912743840246,Joseph Resnick,Kevyn Adams,26,81,2.27,7.53,3.83,1.64,4.08,1.56,0.67,1.43
Tage Thompson,BUF,C,STD,7142857,15.781623394337107,15.620294338222031,-0.16132905611507553,Jerry Buckley,Kevyn Adams,28,81,3.12,21.4,9.89,3.7,2.66,1.08,3.27,1.85
Tyson Kozak,BUF,C,STD,775000,13.560618308335483,13.571259724239274,0.010641415903791085,Kurt Overhardt,Kevyn Adams,23,46,0.6900000000000001,6.25,3.47,1.62,3.35,1.39,13.88,4.28
Zach Benson,BUF,L,ELC,950000,13.764217263576723,14.305229218488426,0.5410119549117027,Ross Gurney,Kevyn Adams,21,65,2.5,11.21,7.84,5.4,2.67,1.45,2.32,1.28
Zach Metsa,BUF,D,STD,775000,13.560618308335483,14.316303136108738,0.7556848277732549,Allain Roy,Kevyn Adams,27,43,0.76,7.12,1.53,0.38,3.56,0.64,0.64,3.94
Joshua Norris,BUF,C,STD,7950000,15.888682486630515,14.830262633948488,-1.058419852682027,Craig Oster,Pierre Dorion,27,44,2.93,11.53,7.75,3.61,1.72,0.77,2.07,2.32
Sam Carrick,BUF,C,STD,1000000,13.815510557964274,15.000110474245277,1.1845999162810035,Todd Reynolds,Chris Drury,34,73,1.26,11.3,5.73,3.53,2.28,1.02,8.32,2.75
Luke Schenn,BUF,D,STD,2750000,14.827111469642754,14.71331441405898,-0.11379705558377395,Ben Hankinson,Barry Trotz,36,50,0.62,8.43,1.41,0.09,3.86,0.61,13.08,5.01
Logan Stanley,BUF,D,STD,1250000,14.038654109278484,14.92212920048719,0.8834750912087053,Patrick Morris,Kevin Cheveldayoff,28,76,1.23,12.29,3.12,0.38,3.12,0.8,5.2,3.97
Tanner Pearson,BUF,L,STD,1000000,13.815510557964274,14.870538444527842,1.0550278865635683,Joseph Resnick,Kevin Cheveldayoff,33,56,1.48,10.09,4.65,1.88,2.77,0.59,7.32,2.67
Isak Rosén,BUF,R,ELC,894167,13.703647837605391,14.22257345833441,0.5189256207290178,J.P. Barry,Kevyn Adams,23,37,1.4100000000000001,13.39,6.77,2.11,2.54,0.7,2.4,2.82
Jacob Bryson,BUF,D,STD,900000,13.710150042306449,14.446164091247333,0.7360140489408842,Jeff Boston,Kevyn Adams,28,50,0.88,6.63,1.44,0.44,1.88,0.55,1.55,3.2
Mark Jankowski,CAR,L,STD,800000,13.592367006650065,14.959442223252625,1.3670752166025597,Wade Arnott,Barry Trotz,31,68,1.6600000000000001,10.68,8.55,4.67,2.77,0.87,3.56,3.56
K'Andre Miller,CAR,D,STD,7500000,15.830413578506539,14.761208193575335,-1.0692053849312035,Ian Pulver,Chris Drury,26,72,1.3800000000000001,11.5,3.16,0.56,2.98,1.64,3.76,2.94
Andrei Svechnikov,CAR,R,STD,7750000,15.86320340132953,15.187788271888532,-0.6754151294409976,Mark Gandler & Todd Diamond,Don Waddell,26,79,3.13,19.05,10.64,3.98,4.11,1.03,6.62,0.72
Jackson Blake,CAR,R,ELC,905833,13.716610241324043,14.757671484426538,1.0410612431024955,Neil Sheehy,Don Waddell,22,81,2.38,15.58,11.31,5.52,4.13,1.35,0.58,1.53
Jesperi Kotkaniemi,CAR,C,STD,4820000,15.388284486026784,13.907080221820449,-1.481204264206335,Markus Lehto,Don Waddell,25,42,1.13,10.07,5.92,3.15,4.03,0.38,7.93,2.27
Jordan Staal,CAR,C,STD,2900000,14.880221294956703,15.326366013151878,0.44614471819517476,Richard Curran,Don Waddell,37,75,1.78,11.17,8.25,4.6,2.27,0.79,8.2,2.37
Sebastian Aho,CAR,C,STD,9750000,16.09277784297403,15.346195090077064,-0.7465827528969662,Mika Rautakallio,Don Waddell,28,79,3.0999999999999996,15.72,9.53,3.95,4.22,1.2,2.44,0.89
Alexander Nikishin,CAR,D,ELC,925000,13.737549016494562,14.69158815908162,0.9540391425870585,Ryan Barnes,Eric Tulsky,24,81,1.35,13.08,2.48,0.57,3.54,1.06,5.38,3.83
Eric Robinson,CAR,L,STD,1700000,14.346138809026444,14.777765542148902,0.43162673312245836,Todd Reynolds,Eric Tulsky,31,67,1.41,14.26,9.01,4.86,2.27,0.71,7.05,1.02
Jaccob Slavin,CAR,D,STD,6396062,15.671193046447474,14.728594328510466,-0.9425987179370079,Kurt Overhardt,Eric Tulsky,32,39,0.5800000000000001,9.17,1.88,0.51,2.67,2.31,0.43,3.9
Jalen Chatfield,CAR,D,STD,3000000,14.914122846632385,14.9208324764604,0.006709629828016261,Darren Ferris,Eric Tulsky,30,72,0.7,10.88,2.52,0.33,2.81,1.2,1.49,2.61
Jordan Martinook,CAR,L,STD,3050000,14.930652148583594,15.197870007761379,0.2672178591777854,Jeff Helperl,Eric Tulsky,33,77,1.52,13.08,7.25,3.41,2.36,0.74,5.88,2.63
Mike Reilly,CAR,D,STD,1100000,13.9108207377686,14.94970232512316,1.0388815873545614,Pat Brisson,Eric Tulsky,32,42,0.86,14.61,3.34,0.38,2.2,0.67,1.72,3.53
Nikolaj Ehlers,CAR,L,STD,8500000,15.955576721460545,15.763925905170614,-0.19165081628993086,Andre Rufener,Eric Tulsky,30,82,3.13,19,7.5,2.42,3.84,1.06,0.93,1.06
Sean Walker,CAR,D,STD,3600000,15.096444403426338,15.290449160333534,0.1940047569071961,Kurt Overhardt (KO),Eric Tulsky,31,81,1.06,15.25,4.65,0.65,3.26,1.12,4.79,4.24
Seth Jarvis,CAR,C,STD,7420087,15.81970134014221,14.912869097030466,-0.9068322431117437,Gerry Johannson,Eric Tulsky,24,71,2.95,16.61,11.32,5.46,2.55,1.84,3.63,1.21
Shayne Gostisbehere,CAR,D,STD,3200000,14.978661367769956,15.70189590896759,0.723234541197634,Marc Levine,Eric Tulsky,33,55,2.84,16,3.91,0.45,3.06,1.08,1.64,3.57
Taylor Hall,CAR,L,STD,3166667,14.968190173165812,15.573151092410948,0.6049609192451353,Darren Ferris,Eric Tulsky,34,80,2.48,14.4,8.88,4.59,3.3,1.08,2.79,1.55
William Carrier,CAR,L,STD,2000000,14.508657738524219,14.590130605140805,0.08147286661658626,Philippe Lecavalier,Eric Tulsky,31,70,1.44,13.71,7.73,5.02,1.51,1.2,13.71,1.43
Logan Stankoven,CAR,C,ELC,814167,13.609920783647462,14.73743263839538,1.127511854747917,Gerry Johannson,Jim Nill,23,81,2.1100000000000003,15.1,10.79,5.03,2.21,1.34,2.4,1.05
Nicolas Deslauriers,CAR,L,STD,1750000,14.375126345899696,13.743374959700706,-0.6317513861989905,Philippe Lecavalier,Chuck Fletcher,35,31,0.45,8.15,3.62,1.81,2.26,0.68,27.4,1.81
Luca Del Bel Belluz,CBJ,C,ELC,859999,13.664686505438317,13.636119177085687,-0.028567328352629318,Pat Brisson,Brent Flahr,22,14,0.47,7.54,5.18,1.88,0.47,0.94,1.41,4.71
Miles Wood,CBJ,L,STD,2500000,14.73180128983843,14.513321184435364,-0.2184801054030654,Peter Fish,Chris MacFarland,30,54,1.31,12.37,7.31,4.5,3.19,0.47,5.9,1.78
Charlie Coyle,CBJ,C,STD,5250000,15.473738634567807,15.426765178240798,-0.046973456327009444,Robert Norton,Don Sweeney,34,82,2.35,9.99,6.67,3.96,2.14,1.37,4.49,2.14
Brendan Smith,CBJ,D,STD,800000,13.592367006650065,14.666452111962021,1.0740851053119567,Matthew Oates,Don Waddell,37,15,0.72,7.58,1.81,0,5.42,1.81,4.33,3.97
Cole Sillinger,CBJ,C,STD,2250000,14.626440774180603,14.540436304022379,-0.08600447015822432,Craig Oster,Don Waddell,23,81,1.6099999999999999,12.02,6.96,2.77,2.82,1.51,5.45,2.14
Dante Fabbro,CBJ,D,STD,4125000,15.232576577750919,14.756334895789518,-0.47624168196140104,J.P. Barry,Don Waddell,28,74,0.53,8.52,1.57,0.05,2.89,0.98,3.18,5.87
Dmitri Voronkov,CBJ,L,STD,4175000,15.244624916267092,14.369882023640931,-0.8747428926261609,Rick Komarow,Don Waddell,25,63,2.1799999999999997,13.25,9.36,6.29,2.8,0.61,7.17,1.84
Isac Lundestrom,CBJ,C,STD,1300000,14.077874822431765,14.355275409331865,0.27740058690010017,Peter Wallen,Don Waddell,26,68,0.85,6.27,3.28,1.5,2.71,0.57,2.49,2.49
Ivan Provorov,CBJ,D,STD,8500000,15.955576721460545,15.033512361855797,-0.9220643596047484,Mark Gandler & Todd Diamond,Don Waddell,29,82,0.92,10.2,2.83,0.59,3.3,0.86,0.83,3.95
Jake Christiansen,CBJ,D,STD,975000,13.790192749979985,14.203514672678992,0.4133219226990068,J.P. Barry,Don Waddell,26,40,0.45,11.5,2.84,0.15,1.94,0.3,4.48,3.58
Kent Johnson,CBJ,C,STD,1800000,14.403297222866392,14.608399023373654,0.20510180050726134,Pat Brisson,Don Waddell,23,76,1.31,13.89,7.51,2.8,2.92,0.66,0.89,2.27
Kirill Marchenko,CBJ,R,STD,3850000,15.163583706263967,15.256781124589523,0.0931974183255555,Daniel Milstein,Don Waddell,25,76,2.8,18.59,9.54,2.71,3.96,1.88,2.54,1.67
Mathieu Olivier,CBJ,R,STD,3000000,14.914122846632385,14.48098933106814,-0.4331335155642453,Philippe Lecavalier,Don Waddell,29,61,1.8,12.79,8.16,4.56,1.59,0.83,14.45,2.9
Mikael Pyyhtia,CBJ,L,STD,775000,13.560618308335483,14.012102546145725,0.4514842378102415,Andy Scott,Don Waddell,24,5,1.17,17.54,8.19,3.51,1.17,1.17,1.17,2.34
Sean Monahan,CBJ,C,STD,5500000,15.520258650202699,15.037305077554942,-0.48295357264775696,Patrick Morris,Don Waddell,31,78,1.6099999999999999,9.97,6.24,3.55,2.56,1.17,2.07,1.53
Adam Fantilli,CBJ,C,ELC,950000,13.764217263576723,14.681943719297713,0.9177264557209899,Pat Brisson,Jarmo Kekalainen,21,82,2.2800000000000002,17.03,9.33,3.56,3.64,0.97,5.38,1.97
Boone Jenner,CBJ,C,STD,3750000,15.137266397946593,15.205773807117195,0.06850740917060172,Joseph Resnick,Jarmo Kekalainen,33,67,2.11,14.98,8.58,4.46,2.95,0.78,8.19,3.68
Denton Mateychuk,CBJ,D,ELC,886666,13.69522364020979,14.39430186613563,0.6990782259258399,Gerry Johannson,Jarmo Kekalainen,21,75,1.29,8.8,3,0.71,3.34,0.63,1.08,3.84
Erik Gudbranson,CBJ,D,STD,4000000,15.201804919084164,14.659914150460509,-0.5418907686236558,Patrick Morris,Jarmo Kekalainen,34,37,0.27,8.03,1.1,0.18,3.01,0.64,4.11,5.84
Zach Werenski,CBJ,D,STD,9583333,16.075536001756916,15.516149942256634,-0.559386059500282,Judd Moldaver,Jarmo Kekalainen,28,75,2.43,17.73,6.4,0.66,3.76,1.05,0.9,2.83
Luca Pinelli,CBJ,C,ELC,846666,13.649061562924725,13.427063767822862,-0.22199779510186346,Patrick Morris,John Davidson,21,3,0,14.53,11.62,1.45,4.36,0,2.91,1.45
Damon Severson,CBJ,D,STD,6250000,15.648092021712584,15.072024670129718,-0.576067351582866,Jason Davidson & Blake Evans,Tom Fitzgerald,31,71,1.28,9.54,3.57,1.12,3.29,1.12,1.56,3.45
Yegor Zamula,CBJ,D,STD,1000000,13.815510557964274,14.140002710052451,0.32449215208817783,Daniel Milstein,Don Waddell,26,33,0.42,7.1,1.53,0,3.76,0.83,0.97,5.57
Yegor Chinakhov,CBJ,R,STD,2100000,14.557447902693651,15.097479444971599,0.5400315422779478,Shumi Babaev,Don Waddell,25,72,2.6,18.55,9.03,3.34,2.35,0.56,3.03,1.92
Danton Heinen,CBJ,L,STD,2250000,14.626440774180603,14.533307908148654,-0.09313286603194904,Allain Roy,Patrik Allvin,30,46,1.38,11.04,7.36,3.68,2.42,1.04,6.21,2.76
Mason Marchment,CBJ,L,STD,4500000,15.319587954740548,15.144213984643102,-0.17537397009744637,Paul Capizzano,Jim Nill,31,68,2.29,13.36,7.62,3.35,4.37,1.47,4.27,1.42
Conor Garland,CBJ,R,STD,4950000,15.414898134544874,15.02106463457999,-0.3938334999648845,Judd Moldaver,Jim Benning,30,71,1.62,13.37,7.72,3.39,3.69,1.38,2.21,1.57
Blake Coleman,CGY,L,STD,4900000,15.404745763080856,15.140335209101188,-0.2644105539796673,Brian & Scott Bartlett,Brad Treliving,34,69,1.75,15.36,9.89,5.62,3.11,1.35,7.63,2.41
Jonathan Huberdeau,CGY,L,STD,10500000,16.166885815127753,14.881455669456773,-1.2854301456709791,Allan Walsh,Brad Treliving,33,50,1.65,10.92,6.88,4.04,3.84,0.6,1.99,1.99
Joel Farabee,CGY,L,STD,5000000,15.424948470398375,14.786951553245306,-0.6379969171530693,Shawn Hunwick,Chuck Fletcher,26,82,1.65,10.77,6.36,3.24,3.03,0.99,2.12,2.25
Adam Klapka,CGY,R,STD,1250000,14.038654109278484,14.103285481362688,0.06463137208420378,Gerry Johannson,Craig Conroy,25,79,1.29,12.99,6.85,3.57,2.57,1,21.05,3.64
Brayden Pachal,CGY,D,STD,1187500,13.987360814890934,14.027714983651032,0.04035416876009812,Ross Gurney,Craig Conroy,26,39,0.78,9.42,2,0.22,3.44,0.78,9.87,4.43
Connor Zary,CGY,C,STD,3775000,15.143910940665263,14.420687626630523,-0.7232233140347404,Michael Kaye,Craig Conroy,24,74,1.4100000000000001,11,7.11,3.72,2.48,0.79,2.54,0.96
Jake Bean,CGY,D,STD,1750000,14.375126345899696,14.344374086251044,-0.03075225964865247,Judd Moldaver,Craig Conroy,28,16,0.48,10.34,3.53,0,3.53,1.18,0.71,6.82
Joel Hanley,CGY,D,STD,1750000,14.375126345899696,15.110446556219298,0.7353202103196015,Lewis Gross,Craig Conroy,35,68,0.42,7.04,1.81,0.24,3.19,0.6,2.53,5.42
Kevin Bahl,CGY,D,STD,5350000,15.49260711887219,14.338608175326828,-1.1539989435453624,David Gagner,Craig Conroy,25,76,0.64,5.18,1.33,0.25,3.24,1.51,4.1,3.56
Martin Pospisil,CGY,C,STD,1000000,13.815510557964274,13.339210997017494,-0.4762995609467797,Daniel Milstein,Craig Conroy,26,22,0.81,9.67,4.03,1.34,1.34,0.81,22.57,1.61
Matt Coronato,CGY,R,STD,6500000,15.687312734865866,14.884383572241585,-0.8029291626242809,John Kofi Osei-Tutu & Bobby Gauthier,Craig Conroy,23,80,2.0300000000000002,18.43,9.82,4.06,2.52,0.86,1.04,1.04
Matvei Gridin,CGY,R,ELC,942500,13.756291198304304,14.188470418403016,0.43217922009871224,Daniel Milstein,Craig Conroy,20,37,2.14,14.99,6.85,2.78,4.5,0.75,1.18,3
Mikael Backlund,CGY,C,STD,4500000,15.319587954740548,15.702131946298191,0.3825439915576432,J.P. Barry,Craig Conroy,37,82,1.75,14.23,5.83,3.26,3.51,1.3,0.94,1.14
Morgan Frost,CGY,C,STD,4375000,15.291417077773852,14.958105034858782,-0.33331204291507,Darren Ferris,Craig Conroy,27,82,2.0300000000000002,12.51,8.22,4.16,2.27,0.94,2.79,1.84
Ryan Lomberg,CGY,L,STD,2000000,14.508657738524219,14.41880637425741,-0.08985136426680818,Brian & Scott Bartlett,Craig Conroy,31,57,1.0499999999999998,11.52,5.35,1.86,2.09,0.35,15.01,1.98
Samuel Honzek,CGY,L,ELC,886666,13.69522364020979,13.29164458921774,-0.40357905099205027,Gerry Johannson,Craig Conroy,21,18,1.08,11.34,5.94,3.78,2.43,0.27,9.45,1.62
Yan Kuznetsov,CGY,D,STD,812500,13.60787119318603,14.174126451988489,0.5662552588024585,Mark Gandler & Todd Diamond,Craig Conroy,24,57,0.63,7.08,1.52,0.21,3.2,0.47,4.14,5.35
Yegor Sharangovich,CGY,C,STD,5750000,15.564710412773533,14.975101372624149,-0.5896090401493836,Daniel Milstein,Craig Conroy,28,78,1.3900000000000001,14.53,7,3.12,2.64,0.86,1.01,1.49
Zayne Parekh,CGY,D,ELC,942500,13.756291198304304,13.86834150722333,0.11205030891902545,Daniel Milstein,Craig Conroy,20,37,0.85,13.07,4.45,0.57,6.34,0.85,1.42,2.84
Nazem Kadri,CGY,C,STD,7000000,15.761420707019587,15.674458854498981,-0.08696185252060573,Darren Ferris,Brad Treliving,35,77,2.05,18.01,10.48,4.46,3.07,0.82,2.05,1.23
Victor Olofsson,CGY,L,STD,1575000,14.269765830241871,15.210361740825498,0.9405959105836263,Claude Lemieux,Chris MacFarland,30,78,1.76,14.97,9.08,3.63,3.4,0.96,1.02,1.19
Olli Maatta,CGY,D,STD,3500000,15.068273526459642,14.706748405526389,-0.36152512093325306,J.P. Barry,Bill Armstrong,31,43,1.21,5.59,1.46,0.73,4.05,1.05,0.24,5.02
MacKenzie Weegar,CGY,D,STD,6250000,15.648092021712584,15.264760682736744,-0.3833313389758395,Matthew Ebbs,Brad Treliving,32,79,0.9500000000000001,13.29,2.64,0.2,4.19,1.08,5.65,5.92
Rasmus Andersson,CGY,D,STD,4550000,15.330637790927133,15.269030493333311,-0.061607297593822,Claude Lemieux,Brad Treliving,29,81,1.5,12.83,3.74,0.93,3.26,0.86,1.18,4.79
Zach Whitecloud,CGY,D,STD,2750000,14.827111469642754,14.770324419161033,-0.05678705048172006,Dean Grillo,Kelly McCrimmon,29,78,0.6499999999999999,7.19,1.85,0.26,2.76,0.57,4.69,5.3
Sam Lafferty,CHI,C,STD,2000000,14.508657738524219,13.844613781471644,-0.6640439570525754,Pete Rutili,Kevyn Adams,31,29,0.46,4.51,3.16,2.26,3.38,0.45,7.89,1.13
Alex Vlasic,CHI,D,STD,4600000,15.341566861459324,14.611652205006155,-0.7299146564531682,Brian & Scott Bartlett,Kyle Davidson,25,81,0.74,7.47,1.75,0.21,3.23,0.98,1.02,4.17
Anton Frondell,CHI,C,ELC,975000,13.790192749979985,14.157385508676914,0.3671927586969286,J.P. Barry,Kyle Davidson,19,12,2.55,19.78,9.61,3.11,3.11,0.57,2.26,3.67
Artyom Levshunov,CHI,D,ELC,975000,13.790192749979985,14.108241062284193,0.3180483123042084,Daniel Milstein,Kyle Davidson,20,68,1.08,9.91,3.29,0.5,3.96,0.72,4.41,3.29
Connor Bedard,CHI,C,ELC,950000,13.764217263576723,14.865887225324816,1.101669961748092,Gregory Landry,Kyle Davidson,20,69,3.12,17.49,9.16,2.58,3.58,1.12,1.29,1.12
Dominic Toninato,CHI,C,STD,850000,13.652991628466498,13.963496873378094,0.3105052449115959,,Kyle Davidson,32,8,0.82,13.11,5.74,4.1,1.64,1.64,9.83,0.82
Ethan Del Mastro,CHI,D,ELC,855833,13.659830542632731,13.632004922451426,-0.02782562018130541,Wade Arnott,Kyle Davidson,23,19,0.22,8.72,1.56,0.22,3.58,1.12,4.25,4.92
Frank Nazar,CHI,C,ELC,950000,13.764217263576723,14.48626109486482,0.7220438312880972,Kevin Magnuson,Kyle Davidson,22,66,2.0300000000000002,13.25,8.58,4.02,3.67,1.39,1.84,2.13
Kevin Korchinski,CHI,D,ELC,918333,13.73031534892457,13.545104007692194,-0.18521134123237637,David Kaye,Kyle Davidson,22,13,0.68,5.75,1.35,0.34,4.4,0.68,1.35,4.4
Landon Slaggert,CHI,L,STD,900000,13.710150042306449,13.777852268323915,0.06770222601746667,Brian & Scott Bartlett,Kyle Davidson,23,53,0.75,8.9,6.44,3.65,1.29,0.43,8.47,2.57
Louis Crevier,CHI,D,STD,900000,13.710150042306449,14.643278223702554,0.9331281813961052,Paul Corbeil,Kyle Davidson,25,78,1.12,11.04,2.96,0.54,2.87,0.67,5.57,4.26
Matt Grzelcyk,CHI,D,STD,1000000,13.815510557964274,14.930224891964777,1.114714334000503,Sean Coffey,Kyle Davidson,32,69,0.61,8.15,1.13,0.1,2.36,1.08,1.43,2.77
Nick Lardis,CHI,L,ELC,865000,13.670484785914017,13.939632097732993,0.2691473118189762,David Gagner,Kyle Davidson,20,41,1.73,13.97,7.74,2.54,2.19,0.58,6.58,1.39
Oliver Moore,CHI,C,ELC,941667,13.755406987876807,14.081366780299915,0.3259597924231077,Pat Brisson,Kyle Davidson,21,51,1.74,10.12,5.47,2.37,3.74,1.37,2.28,1.19
Ryan Donato,CHI,C,STD,4000000,15.201804919084164,15.014491752297856,-0.18731316678630883,Matt & Ryan Keator,Kyle Davidson,30,82,1.48,13.8,7.7,3.92,2.88,1.29,3.87,1.04
Ryan Greene,CHI,C,ELC,950000,13.764217263576723,14.33467651411141,0.5704592505346859,Allain Roy,Kyle Davidson,22,81,1.28,8.85,6.19,2.96,2.26,0.93,2.21,1.64
Sacha Boisvert,CHI,C,ELC,966667,13.781609351116119,13.420076489774873,-0.36153286134124585,Ian Pulver,Kyle Davidson,20,7,1.86,11.13,6.49,1.85,3.71,0,8.34,0.93
Sam Rinzel,CHI,D,ELC,941667,13.755406987876807,14.139325407125186,0.38391841924837955,Thomas Lynn,Kyle Davidson,21,54,0.85,12.16,3.34,0.18,4.07,0.79,2.98,3.83
Teuvo Teravainen,CHI,C,STD,5400000,15.501909511534503,15.083594041183343,-0.41831547035116046,Markus Lehto,Kyle Davidson,31,75,1.58,8.61,4.19,1.71,3.2,0.99,0.95,1.94
Tyler Bertuzzi,CHI,L,STD,5500000,15.520258650202699,15.156901040278242,-0.3633576099244564,Todd Reynolds,Kyle Davidson,31,79,2.39,12.19,9.22,5.81,3.13,0.86,2.26,0.99
