 ,Team,Position,Type,Cap Hit,Log(CapHit),Predicted Log(CapHit),Value,Signing Agent,Signing GM,Age,GP,Points/60,iCF/60,iSCF/60,iHDCF/60,Giveaways/60,Takeaways/60,Hits/60,Shots Blocked/60
Brandon Hagel,T.B,L,STD,6500000,15.687312734865866,15.409991138538532,-0.2773215963273348,Allain Roy,Julien BriseBois,27,71,3.17,19.63,11.5,4.53,3.21,1.5,1.8,1.63
Brayden Point,T.B,C,STD,9500000,16.06680235657077,15.145973729827142,-0.9208286267436261,Gerry Johannson,Julien BriseBois,30,63,2.61,12.88,9.81,5.06,2.14,0.68,0.42,1.2
Charle-Edouard D'Astous,T.B,D,STD,775000,13.560618308335483,14.804740170954558,1.2441218626190746,Dom De Blois,Julien BriseBois,28,70,1.32,9.51,3.38,0.46,2.93,0.96,4.39,3.38
Darren Raddysh,T.B,D,STD,975000,13.790192749979985,15.53374509300958,1.7435523430295952,David Gagner,Julien BriseBois,30,73,2.54,16.66,4.27,0.65,2.64,0.51,2.43,2.5
Declan Carlile,T.B,D,STD,775000,13.560618308335483,14.134822675951767,0.574204367616284,Peter Fish,Julien BriseBois,26,42,0.29000000000000004,9.57,3.38,0.1,2.13,0.58,4.93,3.67
Dominic James,T.B,C,ELC,910000,13.721199878493033,14.055112730002005,0.33391285150897154,Chris Lepkowski,Julien BriseBois,23,43,1.71,12.89,6.39,2.96,4.68,1.6,6.61,1.48
Emil Lilleberg,T.B,D,STD,800000,13.592367006650065,14.026204653850245,0.43383764720018014,Peter Wallen,Julien BriseBois,25,50,0.8300000000000001,6.79,1.53,0.42,2.91,0.42,6.66,3.12
Erik Cernak,T.B,D,STD,5200000,15.464169183551656,14.513401130584947,-0.9507680529667084,Craig Oster,Julien BriseBois,29,61,0.62,6.87,1.68,0.45,3.07,0.84,6.25,5.53
Gage Goncalves,T.B,C,STD,1200000,13.997832114758229,14.540898207144345,0.5430660923861161,Shane Corston,Julien BriseBois,25,74,2.04,8.98,5.51,2.97,3.59,1.12,5.27,1.8
Jake Guentzel,T.B,C,STD,9000000,16.012735135300492,15.51718115519291,-0.4955539801075819,Ben Hankinson,Julien BriseBois,31,81,3.2199999999999998,14.09,10.5,6,2.67,0.84,1.43,1.5
Jakob Pelletier,T.B,L,STD,775000,13.560618308335483,13.24198397840731,-0.3186343299281731,Olivier Fortier,Julien BriseBois,25,5,0,8.99,7.71,2.57,5.14,0,10.27,3.85
